sitio;arquivo_de_som;data;horario;temp;umid;veg
maro20;20191025_104500.WAV;25/10/2019;10:45:00;23.7;39.3;1787
maro20;20191024_130000.WAV;24/10/2019;13:00:00;25.9;39.4;1787
maro20;20191024_131500.WAV;24/10/2019;13:15:00;26.2;39.4;1787
maro20;20191024_124500.WAV;24/10/2019;12:45:00;25.9;39.6;1787
maro20;20191026_104500.WAV;26/10/2019;10:45:00;25.6;39.7;1787
maro20;20191026_103000.WAV;26/10/2019;10:30:00;24.8;40;1787
maro20;20191025_103000.WAV;25/10/2019;10:30:00;23.3;40.1;1787
maro20;20191025_101500.WAV;25/10/2019;10:15:00;22.8;40.3;1787
maro20;20191024_133000.WAV;24/10/2019;13:30:00;26.7;41.4;1787
maro20;20191026_101500.WAV;26/10/2019;10:15:00;24.2;41.7;1787
maro20;20191025_100000.WAV;25/10/2019;10:00:00;22.4;42;1787
maro20;20191026_100000.WAV;26/10/2019;10:00:00;23.8;44.2;1787
maro20;20191025_094500.WAV;25/10/2019;09:45:00;22.5;44.3;1787
maro20;20191026_094500.WAV;26/10/2019;09:45:00;23.3;45.4;1787
maro20;20191025_091500.WAV;25/10/2019;09:15:00;21.6;45.5;1787
maro20;20191025_093000.WAV;25/10/2019;09:30:00;22.2;46;1787
maro20;20191026_093000.WAV;26/10/2019;09:30:00;22.7;47.5;1787
maro20;20191026_091500.WAV;26/10/2019;09:15:00;21.8;48.7;1787
maro20;20191025_090000.WAV;25/10/2019;09:00:00;20.9;51.5;1787
maro20;20191026_090000.WAV;26/10/2019;09:00:00;21.2;53.9;1787
maro20;20191026_084500.WAV;26/10/2019;08:45:00;20.5;54;1787
maro20;20191025_084500.WAV;25/10/2019;08:45:00;19.3;55.9;1787
maro20;20191026_083000.WAV;26/10/2019;08:30:00;20.2;56.3;1787
maro20;20191025_083000.WAV;25/10/2019;08:30:00;18.7;57.4;1787
maro20;20191025_081500.WAV;25/10/2019;08:15:00;17.4;59.3;1787
maro20;20191026_081500.WAV;26/10/2019;08:15:00;19.4;59.3;1787
maro20;20191026_080000.WAV;26/10/2019;08:00:00;19;59.8;1787
maro20;20191026_074500.WAV;26/10/2019;07:45:00;18.1;61.2;1787
maro20;20191025_080000.WAV;25/10/2019;08:00:00;16.7;61.8;1787
maro20;20191025_074500.WAV;25/10/2019;07:45:00;15.8;61.9;1787
maro20;20191026_073000.WAV;26/10/2019;07:30:00;17.2;62.3;1787
maro20;20191026_071500.WAV;26/10/2019;07:15:00;16.1;62.6;1787
maro20;20191025_073000.WAV;25/10/2019;07:30:00;15.3;62.9;1787
maro20;20191026_070000.WAV;26/10/2019;07:00:00;15;65.3;1787
maro20;20191026_063000.WAV;26/10/2019;06:30:00;13.7;65.7;1787
maro20;20191026_064500.WAV;26/10/2019;06:45:00;14;67.2;1787
maro20;20191026_061500.WAV;26/10/2019;06:15:00;12.8;68.1;1787
maro20;20191025_071500.WAV;25/10/2019;07:15:00;13.7;68.5;1787
maro20;20191026_060000.WAV;26/10/2019;06:00:00;12.2;68.7;1787
maro20;20191025_063000.WAV;25/10/2019;06:30:00;12.6;69.3;1787
maro20;20191025_064500.WAV;25/10/2019;06:45:00;13.1;69.4;1787
maro20;20191025_061500.WAV;25/10/2019;06:15:00;12;70.2;1787
maro20;20191025_070000.WAV;25/10/2019;07:00:00;12.6;71.6;1787
maro20;20191025_060000.WAV;25/10/2019;06:00:00;11.4;72.6;1787
maro20;20191028_091500.WAV;28/10/2019;09:15:00;23.1;72.9;1787
maro20;20191028_090000.WAV;28/10/2019;09:00:00;22.8;73.6;1787
maro20;20191028_084500.WAV;28/10/2019;08:45:00;22.6;75.7;1787
maro20;20191028_081500.WAV;28/10/2019;08:15:00;22.4;77;1787
maro20;20191028_083000.WAV;28/10/2019;08:30:00;21.8;77.6;1787
maro20;20191028_080000.WAV;28/10/2019;08:00:00;21.4;80.7;1787
maro20;20191028_074500.WAV;28/10/2019;07:45:00;20.6;83.8;1787
maro20;20191028_073000.WAV;28/10/2019;07:30:00;20.3;84.2;1787
maro20;20191028_071500.WAV;28/10/2019;07:15:00;19.4;87.1;1787
maro20;20191027_180000.WAV;27/10/2019;18:00:00;20.3;87.9;1787
maro20;20191027_181500.WAV;27/10/2019;18:15:00;20.2;88.5;1787
maro20;20191027_174500.WAV;27/10/2019;17:45:00;20;89.1;1787
maro20;20191027_173000.WAV;27/10/2019;17:30:00;20.1;89.4;1787
maro20;20191028_070000.WAV;28/10/2019;07:00:00;18.5;89.6;1787
maro20;20191027_170000.WAV;27/10/2019;17:00:00;19.9;90.3;1787
maro20;20191027_171500.WAV;27/10/2019;17:15:00;20;90.8;1787
maro20;20191028_064500.WAV;28/10/2019;06:45:00;17.2;91.5;1787
maro20;20191028_063000.WAV;28/10/2019;06:30:00;17;92.1;1787
maro20;20191027_164500.WAV;27/10/2019;16:45:00;19.7;92.1;1787
maro20;20191028_061500.WAV;28/10/2019;06:15:00;17;92.4;1787
maro20;20191027_060000.WAV;27/10/2019;06:00:00;18.8;92.4;1787
maro20;20191027_163000.WAV;27/10/2019;16:30:00;19.5;92.4;1787
maro20;20191027_061500.WAV;27/10/2019;06:15:00;18.6;92.5;1787
maro20;20191028_060000.WAV;28/10/2019;06:00:00;16.9;92.6;1787
maro20;20191027_161500.WAV;27/10/2019;16:15:00;19.5;93.2;1787
maro20;20191027_160000.WAV;27/10/2019;16:00:00;19.5;93.6;1787
maro20;20191027_063000.WAV;27/10/2019;06:30:00;18.3;94;1787
maro20;20191027_064500.WAV;27/10/2019;06:45:00;18.3;94.6;1787
maro20;20191027_070000.WAV;27/10/2019;07:00:00;18.3;94.7;1787
maro20;20191027_154500.WAV;27/10/2019;15:45:00;19.3;94.7;1787
maro20;20191027_071500.WAV;27/10/2019;07:15:00;18.3;94.8;1787
maro20;20191027_073000.WAV;27/10/2019;07:30:00;18.4;94.9;1787
maro20;20191027_074500.WAV;27/10/2019;07:45:00;18.4;95;1787
maro20;20191027_080000.WAV;27/10/2019;08:00:00;18.3;95.1;1787
maro20;20191027_153000.WAV;27/10/2019;15:30:00;19.1;95.1;1787
maro20;20191027_081500.WAV;27/10/2019;08:15:00;18.2;95.2;1787
maro20;20191027_083000.WAV;27/10/2019;08:30:00;18.1;95.3;1787
maro20;20191027_084500.WAV;27/10/2019;08:45:00;18.1;95.3;1787
maro20;20191027_090000.WAV;27/10/2019;09:00:00;18.1;95.4;1787
maro20;20191027_091500.WAV;27/10/2019;09:15:00;18.2;95.4;1787
maro20;20191027_093000.WAV;27/10/2019;09:30:00;18.3;95.4;1787
maro20;20191027_094500.WAV;27/10/2019;09:45:00;18.4;95.4;1787
maro20;20191027_100000.WAV;27/10/2019;10:00:00;18.5;95.5;1787
maro20;20191027_101500.WAV;27/10/2019;10:15:00;18.5;95.5;1787
maro20;20191027_103000.WAV;27/10/2019;10:30:00;18.5;95.5;1787
maro20;20191027_104500.WAV;27/10/2019;10:45:00;18.6;95.5;1787
